data_source,image_name
3,70ca0b7756d4b56
3,db845b0332b1d57
3,31911dea9fbf98f
1,29fe8301dcd8
1,e46ee30f638c
3,3d79da1b8cc5286
0,bb1827ecf75e
3,3c4c1acb04549e6
3,2055474b53286d3
1,959dffa399e6
3,352cd03849910d4
2,cee4ee93f064630
3,1bdaf9a0d4a7848
1,f26af9d0ad06
3,296ffed732f8ded
2,17e6595d984c0a4
2,1514fbe9d021978
3,464aea934978511
0,d6e9d2f81c11
0,78188acb3842
3,ad6561a1fcb752b
3,47ed337dd01fdbd
2,a5afb89c27bfc26
2,c29074f87324696
2,8f362076d0bf541
3,fecfce8d462f485
2,82a87be3b2c9a45
0,46a5139400ef
0,c6bfed8caca6
0,60c399ee1060
3,9eeb98e63892034
2,a92ed3cb09b176a
0,d2e242dff661
0,7ab6f3b00505
2,b30e69e838ff8b5
2,eccfcf9f6917436
2,851d3f91d44ab05
0,75cc97c79000
3,a497730a1405343
2,72806823b04b4b6
1,8a8d00a2f114
0,4a2744c7df2f
2,7b5ac38f58df596
3,aeed9ca098d459b
2,c7834eef119bea8
3,b873be54612cee6
3,5c1fedfb482e254
0,8355a4a5e49b
2,6b0331baf8749c7
3,8f2b8deaa7ec29a
1,5231260192ef
2,b03ae0af95db9dc
0,12a674010279
2,31c5ac047f542af
1,b9e37032151f
2,866d21027a6360d
2,c4b665950c728c2
1,23d4504c4344
2,3200884f43e97e7
0,3d24b18089c6
1,e5fbf37f4f0a
0,c856f0e8563e
0,6a71e50f0588
2,e1ee479c3b40750
2,e9b4b735a959beb
0,5ef0720a1d72
2,69ec654591e807b
1,9604414de716
0,76e1394cdca4
2,f705d45e1f41479
3,638626363bbc3c9
0,265d8e5ab3be
0,8944de4602ef
3,7bbd4b3d6d4a986
0,c57f60d2f0d8
3,6ec5a5996385bea
2,e71215f4ff1422a
2,242f7b33883b9d6
2,7b837f20dbc9ef0
2,02ef7310d7d0723
3,8b02913820f05cb
3,a366d6049cb2fcd
2,d1ac8d09511dee9
3,38a28b5494555af
3,91ef7c47b3e5a97
2,433f3da4eeecc2c
3,549b249483542a0
0,947df2ba0a5a
3,602a4f0295a371e
1,84701923aa9d
3,a212cb2e3e568af
2,1a04d778c5259d0
0,9e36fbe87b32
2,52de76d8ba933b1
2,75275ee369d4da4
3,4fb1e4cc36f6f7f
2,b7bcbda660e4127
0,0f1632dddc12
2,d0e5961741ab911
0,a2356888942a
3,585950444b94879
2,eb9ef1bd020f7d8
0,dc73b9971f1d
1,cbe83045f497
2,26b85f7bc3ff056
2,07724ff583758cf
1,406f60ef7cf7
1,f09f9a31b10a
2,3ca5de26cecb7f4
3,bb98b1b82dbf340
2,011a24036ff34fa
1,efbba57675bf
1,38f633f04649
1,7371ec2a860a
0,34088e07f254
1,baa5c962017b
3,416aba6adaba4fb
1,a2019d4f78d2
3,18cbacf422bf709
